Name,Sector,Sub-sector,Shares,Values
Netflix,Communication Services,Entertainment,4083985,2208333
Roku,Communication Services,Entertainment,118773,39435
"Sea, ADR",Communication Services,Entertainment,6474379,1288725
Spotify Technology,Communication Services,Entertainment,1862036,585908
Walt Disney,Communication Services,Entertainment,924300,167495
"Alphabet, Class A",Communication Services,Interactive Media & Serivices,636126,1114900
"Alphabet, Class C",Communication Services,Interactive Media & Serivices,2847943,4989254
Facebook,Communication Services,Interactive Media & Serivices,21887389,5978759
Match Group,Communication Services,Interactive Media & Serivices,6472287,978545
Snap,Communication Services,Interactive Media & Serivices,17082613,855327
Tencent Holdings (HKD,Communication Services,Interactive Media & Serivices,32965900,2372022
"Charter Communications, Class A",Communication Services,Media,28700,18987
T-Mobile US,Communication Services,Wireless Telecommuncation Services,468939,63236
Aptiv,Consumer Discretionary,Auto Components,"661,911",86240
Airbnb,Consumer Discretionary,"Hotels, Restaurants & Leisure",424867,62371
Chipotle Mexican Grill,Consumer Discretionary,"Hotels, Restaurants & Leisure",436020,604633
Domino's Pizza,Consumer Discretionary,"Hotels, Restaurants & Leisure",202895,77802
Hilton Worldwide Holdings,Consumer Discretionary,"Hotels, Restaurants & Leisure",265430,29532
"Marriott International, Class A",Consumer Discretionary,"Hotels, Restaurants & Leisure",494469,65230
McDonalds's,Consumer Discretionary,"Hotels, Restaurants & Leisure",49519,10626
Starbucks,Consumer Discretionary,"Hotels, Restaurants & Leisure",887800,94977
Yum! Brands,Consumer Discretionary,"Hotels, Restaurants & Leisure",2844938,308846
"Alibaba Group Holding, ADR",Consumer Discretionary,Internet & Direct Marketing Retail,12390029,2883531
Amazon.com,Consumer Discretionary,Internet & Direct Marketing Retail,3301177,10751702
Booking Holdings,Consumer Discretionary,Internet & Direct Marketing Retail,357605,796483
DoorDash,Consumer Discretionary,Internet & Direct Marketing Retail,342964,48958
Etsy,Consumer Discretionary,Internet & Direct Marketing Retail,1245600,221605
"JD.com, ADR",Consumer Discretionary,Internet & Direct Marketing Retail,1144900,100637
Pinduoduo,Consumer Discretionary,Internet & Direct Marketing Retail,1295748,230216
Dollar General,Consumer Discretionary,Multiline Retail,5190641,1091592
Dollar Tree,Consumer Discretionary,Multiline Retail,251034,27122
Carvana,Consumer Discretionary,Specialty Retail,1188782,284761
Ross Stores,Consumer Discretionary,Specialty Retail,5875328,721549
TJX,Consumer Discretionary,Specialty Retail,2637871,180140
Lululemon Athletica,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",1931679,672282
NIKE,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",6471990,915593
VF,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",1312353,112088
Charles Schwab,Financials,Captial Markets,8925559,473412
Goldman Sachs Grou[p,Financials,Captial Markets,3304563,871446
Intercontinental Exchange,Financials,Captial Markets,3401114,392114
Morgan Stanley,Financials,Captial Markets,4830799,331055
MSCI,Financials,Captial Markets,17743,7923
S&P Global,Financials,Captial Markets,1760674,578786
State Street,Financials,Captial Markets,149037,10847
Chubb,Financials,Insurance,1295673,199430
Marsh & McLennan,Financials,Insurance,777788,91001
Wilis Towers Watson,Financials,Insurance,753145,158673
AbbVie,Health Care,Biotechnology,93688,10039
Exact Sciences,Health Care,Biotechnology,97642,12937
Incyte,Health Care,Biotechnology,3901856,339383
Seagen,Health Care,Biotechnology,27409,4800
Vertex Pharaceuticals,Health Care,Biotechnology,4197465,992029
Align Technology ,Health Care,Health Care Equipment & Supplies,131781,70421
Becton Dickinson & Company,Health Care,Health Care Equipment & Supplies,38603,9659
Danaher,Health Care,Health Care Equipment & Supplies,4598013,1021403
Intuitive Surgical,Health Care,Health Care Equipment & Supplies,1766360,1445059
Stryker,Health Care,Health Care Equipment & Supplies,5285984,1295277
Anthem,Health Care,Health Care Providers & Services,1481371,475653
Centene,Health Care,Health Care Providers & Services,6348757,381116
Cigna,Health Care,Health Care Providers & Services,5460467,1136760
HCA Healthcare,Health Care,Health Care Providers & Services,2706426,445099
Humana,Health Care,Health Care Providers & Services,562356,230718
UnitedHealth Group,Health Care,Health Care Providers & Services,5376368,1885385
Veeva Systems,Health Care,Health Care Technology,928788,252862
Agilent Technologies,Health Care,Life Sciences Tools & Services,63352,7507
PPD,Health Care,Life Sciences Tools & Services,2289332,78341
Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,1921659,895070
Zoetis,Health Care,Pharmaceuticals,2244294,371431
United Airlines Holdings,Industrials & Business Services,Airlines,226990,9817
Cintas,Industrials & Business Services,Commercial Services & Supplies,967351,341920
General Electric,Industrials & Business Services,Industrial Conglomerates,14827192,160134
Honeywell International,Industrials & Business Services,Industrial Conglomerates,414519,88168
Roper Technologies,Industrials & Business Services,Industrial Conglomerates,1149687,495619
Fortive,Industrials & Business Services,Machinery,3355842,237661
Parker-Hannifin,Industrials & Business Services,Machinery,263517,71784
Clarivate,Industrials & Business Services,Professional Services,1601800,47590
CoStar Group,Industrials & Business Services,Professional Services,645373,596505
Equifax,Industrials & Business Services,Professional Services,438120,84487
Canadian Pacific Railway,Industrials & Business Services,Road & Rail,34931,12110
Kansas City Southern,Industrials & Business Services,Road & Rail,40514,8270
Norfolk Southern,Industrials & Business Services,Road & Rail,893893,212398
Union Pacific,Industrials & Business Services,Road & Rail,1119383,233078
TE Connectivity,Information Technology,"Electronic Equipment, Instruments & Components",1577320,190966
ANT International,Information Technology,IT Services,18696173,162657
Fidelity National Information Services,Information Technology,IT Services,6881929,973518
Fiserv,Information Technology,IT Services,9033924,1028603
Global Payments,Information Technology,IT Services,9445457,2034740
Mastercard,Information Technology,IT Services,6320106,2255899
MongoDB,Information Technology,IT Services,247700,88934
PayPal Holdings,Information Technology,IT Services,11232610,2630677
Shopify,Information Technology,IT Services,327476,370686
Snowflake,Information Technology,IT Services,158964,44733
Square,Information Technology,IT Services,410400,89319
Twilio,Information Technology,IT Services,310364,105058
Visa,Information Technology,IT Services,13438803,2939469
Wix.com,Information Technology,IT Services,1616709,404113
Advanced Micro Devices,Information Technology,Semiconductors & Semiconductor Equipment,10531892,965880
Applied Materials,Information Technology,Semiconductors & Semiconductor Equipment,2195516,189473
KLA,Information Technology,Semiconductors & Semiconductor Equipment,127199,32933
Lam Research,Information Technology,Semiconductors & Semiconductor Equipment,29437,13902
Marvell Technology Group,Information Technology,Semiconductors & Semiconductor Equipment,15837653,752922
Maxim Integrated Products,Information Technology,Semiconductors & Semiconductor Equipment,3592859,318507
Monolithic Power Systems,Information Technology,Semiconductors & Semiconductor Equipment,556901,203954
NVIDA,Information Technology,Semiconductors & Semiconductor Equipment,2649016,1383316
QUALCOMM,Information Technology,Semiconductors & Semiconductor Equipment,2810229,428110
Texas Instruments,Information Technology,Semiconductors & Semiconductor Equipment,1475116,242111
Adobe,Information Technology,Software,57253,28633
Atlassian,Information Technology,Software,892386,208702
Coupa Software,Information Technology,Software,282356,95693
Crowdstrike Holdings,Information Technology,Software,452200,95785
DocuSign,Information Technology,Software,1308467,290872
Intuit,Information Technology,Software,5280674,2005864
Microsoft,Information Technology,Software,21896752,4870276
Paycom Software,Information Technology,Software,592643,268023
RingCentral,Information Technology,Software,156900,59461
salesforce.com,Information Technology,Software,8454102,1881291
ServiceNow,Information Technology,Software,4331018,2383922
Splunk,Information Technology,Software,3155723,536126
Synopsys,Information Technology,Software,2871705,744461
Workday,Information Technology,Software,1539075,368778
Zoom Video Communications,Information Technology,Software,392095,132262
Apple,Information Technology,"Technology Hardware, Storage & Peripherals",35503650,4710979
Linde,Materials,Chemicals,1250269,329458
PPG Industries,Materials,Chemicals,436009,62881
Sherwin-Williams,Materials,Chemicals,121783,89500
T. Rowe Price Government Reserve Fund,Short-Term Investments,Money Market Funds,345439708,345440
T. Rowe Price Shirt-Term Fund,Securities Lending Collateral,Short-Term Funds,31792991,317930
